date,degradation_state,daily_stress,daily_damage,daily_recovery
2016-02-11,100.0,,,4.5
2016-02-12,100.0,,,4.5
2016-02-13,100.0,,,4.5
2016-02-14,100.0,,,4.5
2016-02-15,100.0,,,4.5
2016-02-16,100.0,,,4.5
2016-02-17,95.5,0.0,0.0,4.5
2016-02-18,91.202,0.0,0.0,4.5
2016-02-19,87.098,0.0,0.0,4.5
2016-02-20,83.179,0.0,0.0,4.5
2016-02-21,79.436,0.0,0.0,4.5
2016-02-22,75.861,0.0,0.0,4.5
2016-02-23,72.448,0.0,0.0,4.5
2016-02-24,69.187,0.0,0.0,4.5
2016-02-25,66.074,0.0,0.0,4.5
2016-02-26,63.101,0.0,0.0,4.5
2016-02-27,60.261,0.0,0.0,4.5
2016-02-28,57.549,0.0,0.0,4.5
2016-02-29,54.96,0.0,0.0,4.5
2016-03-01,52.486,0.0,0.0,4.5
2016-03-02,50.125,0.0,0.0,4.5
2016-03-03,47.869,0.0,0.0,4.5
2016-03-04,45.715,0.0,0.0,4.5
2016-03-05,43.658,0.0,0.0,4.5
2016-03-06,41.693,0.0,0.0,4.5
2016-03-07,39.817,0.0,0.0,4.5
2016-03-08,38.025,0.0,0.0,4.5
2016-03-09,36.314,0.0,0.0,4.5
2016-03-10,34.68,0.0,0.0,4.5
2016-03-11,33.119,0.0,0.0,4.5
2016-03-12,31.629,0.0,0.0,4.5
2016-03-13,30.206,0.0,0.0,4.5
2016-03-14,28.846,0.0,0.0,4.5
2016-03-15,27.548,0.0,0.0,4.5
2016-03-16,26.309,0.0,0.0,4.5
2016-03-17,25.125,0.0,0.0,4.5
2016-03-18,23.994,0.0,0.0,4.5
2016-03-19,22.914,0.0,0.0,4.5
2016-03-20,21.883,0.0,0.0,4.5
2016-03-21,20.898,0.0,0.0,4.5
2016-03-22,19.958,0.0,0.0,4.5
2016-03-23,19.06,0.0,0.0,4.5
2016-03-24,18.202,0.0,0.0,4.5
2016-03-25,17.383,0.0,0.0,4.5
2016-03-26,16.601,0.0,0.0,4.5
2016-03-27,15.854,0.0,0.0,4.5
2016-03-28,15.14,0.0,0.0,4.5
2016-03-29,14.459,0.0,0.0,4.5
2016-03-30,13.808,0.0,0.0,4.5
2016-03-31,13.187,0.0,0.0,4.5
2016-04-01,12.594,0.0,0.0,4.5
2016-04-02,12.027,0.0,0.0,4.5
2016-04-03,11.486,0.0,0.0,4.5
2016-04-04,10.969,0.0,0.0,4.5
2016-04-05,10.475,0.0,0.0,4.5
2016-04-06,10.004,0.0,0.0,4.5
2016-04-07,9.554,0.0,0.0,4.5
2016-04-08,9.124,0.0,0.0,4.5
2016-04-09,8.713,0.0,0.0,4.5
2016-04-10,8.321,0.0,0.0,4.5
2016-04-11,7.947,0.0,0.0,4.5
2016-04-12,7.589,0.0,0.0,4.5
2016-04-13,7.248,0.0,0.0,4.5
2016-04-14,6.921,0.0,0.0,4.5
2016-04-15,6.61,0.0,0.0,4.5
2016-04-16,6.313,0.0,0.0,4.5
2016-04-17,6.028,0.0,0.0,4.5
2016-04-18,5.757,0.0,0.0,4.5
2016-04-19,5.498,0.0,0.0,4.5
2016-04-20,5.251,0.0,0.0,4.5
2016-04-21,5.014,0.0,0.0,4.5
2016-04-22,4.789,0.0,0.0,4.5
2016-04-23,4.573,0.0,0.0,4.5
2016-04-24,4.367,0.0,0.0,4.5
2016-04-25,4.171,0.0,0.0,4.5
2016-04-26,3.983,0.0,0.0,4.5
2016-04-27,3.804,0.0,0.0,4.5
2016-04-28,3.633,0.0,0.0,4.5
2016-04-29,3.469,0.0,0.0,4.5
2016-04-30,3.313,0.0,0.0,4.5
2016-05-01,3.164,0.0,0.0,4.5
2016-05-02,3.022,0.0,0.0,4.5
2016-05-03,2.886,0.0,0.0,4.5
2016-05-04,2.756,0.0,0.0,4.5
2016-05-05,2.632,0.0,0.0,4.5
2016-05-06,2.513,0.0,0.0,4.5
2016-05-07,2.4,0.0,0.0,4.5
2016-05-08,2.292,0.0,0.0,4.5
2016-05-09,2.189,0.0,0.0,4.5
2016-05-10,2.091,0.0,0.0,4.5
2016-05-11,1.997,0.0,0.0,4.5
2016-05-12,1.907,0.0,0.0,4.5
2016-05-13,1.821,0.0,0.0,4.5
2016-05-14,1.739,0.0,0.0,4.5
2016-05-15,1.661,0.0,0.0,4.5
2016-05-16,1.586,0.0,0.0,4.5
2016-05-17,1.515,0.0,0.0,4.5
2016-05-18,1.446,0.0,0.0,4.5
2016-05-19,1.381,0.0,0.0,4.5
2016-05-20,1.319,0.0,0.0,4.5
2016-05-21,1.26,0.0,0.0,4.5
2016-05-22,1.203,0.0,0.0,4.5
2016-05-23,1.149,0.0,0.0,4.5
2016-05-24,1.097,0.0,0.0,4.5
2016-05-25,1.048,0.0,0.0,4.5
2016-05-26,1.001,0.0,0.0,4.5
2016-05-27,0.956,0.0,0.0,4.5
2016-05-28,0.913,0.0,0.0,4.5
2016-05-29,0.872,0.0,0.0,4.5
2016-05-30,0.832,0.0,0.0,4.5
2016-05-31,0.795,0.0,0.0,4.5
2016-06-01,0.759,0.0,0.0,4.5
2016-06-02,0.725,0.0,0.0,4.5
2016-06-03,0.692,0.0,0.0,4.5
2016-06-04,0.661,0.0,0.0,4.5
2016-06-05,0.631,0.0,0.0,4.5
2016-06-06,0.603,0.0,0.0,4.5
2016-06-07,0.576,0.0,0.0,4.5
2016-06-08,0.55,0.0,0.0,4.5
2016-06-09,0.525,0.0,0.0,4.5
2016-06-10,0.502,0.0,0.0,4.5
2016-06-11,0.479,0.0,0.0,4.5
2016-06-12,0.458,0.0,0.0,4.5
2016-06-13,0.437,0.0,0.0,4.5
2016-06-14,0.417,0.0,0.0,4.5
2016-06-15,0.398,0.0,0.0,4.5
2016-06-16,0.381,0.0,0.0,4.5
2016-06-17,0.363,0.0,0.0,4.5
2016-06-18,0.347,0.0,0.0,4.5
2016-06-19,0.331,0.0,0.0,4.5
2016-06-20,0.317,0.0,0.0,4.5
2016-06-21,0.302,0.0,0.0,4.5
2016-06-22,0.289,0.0,0.0,4.5
2016-06-23,0.276,0.0,0.0,4.5
2016-06-24,0.263,0.0,0.0,4.5
2016-06-25,0.251,0.0,0.0,4.5
2016-06-26,0.24,0.0,0.0,4.5
2016-06-27,0.229,0.0,0.0,4.5
2016-06-28,0.219,0.0,0.0,4.5
2016-06-29,0.209,0.0,0.0,4.5
2016-06-30,0.2,0.0,0.0,4.5
2016-07-01,0.191,0.0,0.0,4.5
2016-07-02,0.182,0.0,0.0,4.5
2016-07-03,0.174,0.0,0.0,4.5
2016-07-04,0.166,0.0,0.0,4.5
2016-07-05,0.159,0.0,0.0,4.5
2016-07-06,0.152,0.0,0.0,4.5
2016-07-07,0.145,0.0,0.0,4.5
2016-07-08,0.138,0.0,0.0,4.5
2016-07-09,0.132,0.0,0.0,4.5
2016-07-10,0.126,0.0,0.0,4.5
2016-07-11,0.12,0.0,0.0,4.5
2016-07-12,0.115,0.0,0.0,4.5
2016-07-13,0.11,0.0,0.0,4.5
2016-07-14,0.105,0.0,0.0,4.5
2016-07-15,0.1,0.0,0.0,4.5
2016-07-16,0.096,0.0,0.0,4.5
2016-07-17,0.091,0.0,0.0,4.5
2016-07-18,0.087,0.0,0.0,4.5
2016-07-19,0.083,0.0,0.0,4.5
2016-07-20,0.08,0.0,0.0,4.5
2016-07-21,0.076,0.0,0.0,4.5
2016-07-22,0.073,0.0,0.0,4.5
2016-07-23,0.069,0.0,0.0,4.5
2016-07-24,0.066,0.0,0.0,4.5
2016-07-25,0.063,0.0,0.0,4.5
2016-07-26,0.06,0.0,0.0,4.5
2016-07-27,0.058,0.0,0.0,4.5
2016-07-28,0.055,0.0,0.0,4.5
2016-07-29,0.053,0.0,0.0,4.5
2016-07-30,0.05,0.0,0.0,4.5
2016-07-31,0.048,0.0,0.0,4.5
2016-08-01,0.046,0.0,0.0,4.5
2016-08-02,0.044,0.0,0.0,4.5
2016-08-03,0.042,0.0,0.0,4.5
2016-08-04,0.04,0.0,0.0,4.5
2016-08-05,0.038,0.0,0.0,4.5
2016-08-06,0.036,0.0,0.0,4.5
2016-08-07,0.035,0.0,0.0,4.5
2016-08-08,0.033,0.0,0.0,4.5
2016-08-09,0.032,0.0,0.0,4.5
2016-08-10,0.03,0.0,0.0,4.5
2016-08-11,0.029,0.0,0.0,4.5
2016-08-12,0.028,0.0,0.0,4.5
2016-08-13,0.026,0.0,0.0,4.5
2016-08-14,0.025,0.0,0.0,4.5
2016-08-15,0.024,0.0,0.0,4.5
2016-08-16,0.023,0.0,0.0,4.5
2016-08-17,0.022,0.0,0.0,4.5
2016-08-18,0.021,0.0,0.0,4.5
2016-08-19,0.02,0.0,0.0,4.5
2016-08-20,0.019,0.0,0.0,4.5
2016-08-21,0.018,0.0,0.0,4.5
2016-08-22,0.017,0.0,0.0,4.5
2016-08-23,0.017,0.0,0.0,4.5
2016-08-24,0.016,0.0,0.0,4.5
2016-08-25,0.015,0.0,0.0,4.5
2016-08-26,0.014,0.0,0.0,4.5
2016-08-27,0.014,0.0,0.0,4.5
2016-08-28,0.013,0.0,0.0,4.5
2016-08-29,0.013,0.0,0.0,4.5
2016-08-30,0.012,0.0,0.0,4.5
2016-08-31,0.011,0.0,0.0,4.5
2016-09-01,0.011,0.0,0.0,4.5
2016-09-02,0.01,0.0,0.0,4.5
2016-09-03,0.01,0.0,0.0,4.5
2016-09-04,0.01,0.0,0.0,4.5
2016-09-05,0.009,0.0,0.0,4.5
2016-09-06,0.009,0.0,0.0,4.5
2016-09-07,0.008,0.0,0.0,4.5
2016-09-08,0.008,0.0,0.0,4.5
2016-09-09,0.008,0.0,0.0,4.5
2016-09-10,0.007,0.0,0.0,4.5
2016-09-11,0.007,0.0,0.0,4.5
2016-09-12,0.007,0.0,0.0,4.5
2016-09-13,0.006,0.0,0.0,4.5
2016-09-14,0.006,0.0,0.0,4.5
2016-09-15,0.006,0.0,0.0,4.5
2016-09-16,0.006,0.0,0.0,4.5
2016-09-17,0.005,0.0,0.0,4.5
2016-09-18,0.005,0.0,0.0,4.5
2016-09-19,0.005,0.0,0.0,4.5
2016-09-20,0.005,0.0,0.0,4.5
2016-09-21,0.004,0.0,0.0,4.5
2016-09-22,0.004,0.0,0.0,4.5
2016-09-23,0.004,0.0,0.0,4.5
2016-09-24,0.004,0.0,0.0,4.5
2016-09-25,0.004,0.0,0.0,4.5
2016-09-26,0.003,0.0,0.0,4.5
2016-09-27,0.003,0.0,0.0,4.5
2016-09-28,0.003,0.0,0.0,4.5
2016-09-29,0.003,0.0,0.0,4.5
2016-09-30,0.003,0.0,0.0,4.5
2016-10-01,0.003,0.0,0.0,4.5
2016-10-02,0.003,0.0,0.0,4.5
2016-10-03,0.003,0.0,0.0,4.5
2016-10-04,0.002,0.0,0.0,4.5
2016-10-05,0.002,0.0,0.0,4.5
2016-10-06,0.002,0.0,0.0,4.5
2016-10-07,0.002,0.0,0.0,4.5
2016-10-08,0.002,0.0,0.0,4.5
2016-10-09,0.002,0.0,0.0,4.5
2016-10-10,0.002,0.0,0.0,4.5
2016-10-11,0.002,0.0,0.0,4.5
2016-10-12,0.002,0.0,0.0,4.5
2016-10-13,0.002,0.0,0.0,4.5
2016-10-14,0.002,0.0,0.0,4.5
2016-10-15,0.001,0.0,0.0,4.5
2016-10-16,0.001,0.0,0.0,4.5
2016-10-17,0.001,0.0,0.0,4.5
2016-10-18,0.001,0.0,0.0,4.5
2016-10-19,0.001,0.0,0.0,4.5
2016-10-20,0.001,0.0,0.0,4.5
2016-10-21,0.001,0.0,0.0,4.5
2016-10-22,0.001,0.0,0.0,4.5
2016-10-23,0.001,0.0,0.0,4.5
2016-10-24,0.001,0.0,0.0,4.5
2016-10-25,0.001,0.0,0.0,4.5
2016-10-26,0.001,0.0,0.0,4.5
2016-10-27,0.001,0.0,0.0,4.5
2016-10-28,0.001,0.0,0.0,4.5
2016-10-29,0.001,0.0,0.0,4.5
2016-10-30,0.001,0.0,0.0,4.5
2016-10-31,0.001,0.0,0.0,4.5
2016-11-01,0.001,0.0,0.0,4.5
2016-11-02,0.001,0.0,0.0,4.5
2016-11-03,0.001,0.0,0.0,4.5
2016-11-04,0.001,0.0,0.0,4.5
2016-11-05,0.001,0.0,0.0,4.5
2016-11-06,0.001,0.0,0.0,4.5
2016-11-07,0.001,0.0,0.0,4.5
2016-11-08,0.0,0.0,0.0,4.5
2016-11-09,0.0,0.0,0.0,4.5
2016-11-10,0.0,0.0,0.0,4.5
2016-11-11,0.0,0.0,0.0,4.5
2016-11-12,0.0,0.0,0.0,4.5
2016-11-13,0.0,0.0,0.0,4.5
2016-11-14,0.0,0.0,0.0,4.5
2016-11-15,0.0,0.0,0.0,4.5
2016-11-16,0.0,0.0,0.0,4.5
2016-11-17,0.0,0.0,0.0,4.5
2016-11-18,0.0,0.0,0.0,4.5
2016-11-19,0.0,0.0,0.0,4.5
2016-11-20,0.0,0.0,0.0,4.5
2016-11-21,0.0,0.0,0.0,4.5
2016-11-22,0.0,0.0,0.0,4.5
2016-11-23,0.0,0.0,0.0,4.5
2016-11-24,0.0,0.0,0.0,4.5
2016-11-25,0.0,0.0,0.0,4.5
2016-11-26,0.0,0.0,0.0,4.5
2016-11-27,0.0,0.0,0.0,4.5
2016-11-28,0.0,0.0,0.0,4.5
2016-11-29,0.0,0.0,0.0,4.5
2016-11-30,0.0,0.0,0.0,4.5
2016-12-01,0.0,0.0,0.0,4.5
2016-12-02,0.0,0.0,0.0,4.5
2016-12-03,0.0,0.0,0.0,4.5
2016-12-04,0.0,0.0,0.0,4.5
2016-12-05,0.0,0.0,0.0,4.5
2016-12-06,0.0,0.0,0.0,4.5
2016-12-07,0.0,0.0,0.0,4.5
2016-12-08,0.0,0.0,0.0,4.5
2016-12-09,0.0,0.0,0.0,4.5
2016-12-10,0.0,0.0,0.0,4.5
2016-12-11,0.0,0.0,0.0,4.5
2016-12-12,0.0,0.0,0.0,4.5
2016-12-13,0.0,0.0,0.0,4.5
2016-12-14,0.0,0.0,0.0,4.5
2016-12-15,0.0,0.0,0.0,4.5
