axis,error_code,start_time,end_time,duration_sec,log_entries
Upper/X east,7490.0,2022-11-23 02:13:34.158,2022-11-23 02:13:59.020,24.862,2
Upper/X east,7490.0,2022-11-24 01:39:42.180,2022-11-24 01:40:42.221,60.041,6
Upper/X east,7490.0,2022-11-25 01:35:00.447,2022-11-25 01:35:24.026,23.579,3
Upper/X east,7490.0,2023-01-05 19:15:58.125,2023-01-05 19:17:57.963,119.838,11
Upper/X east,7490.0,2023-01-06 05:16:28.819,2023-01-06 05:20:31.502,242.683,22
Upper/X east,7490.0,2023-01-24 04:55:39.872,2023-01-24 05:06:53.859,673.987,59
Upper/X east,7490.0,2023-03-06 06:03:06.822,2023-03-06 06:07:56.948,290.126,24
Upper/X east,7490.0,2023-03-06 06:55:59.538,2023-03-06 07:01:58.489,358.951,30
Upper/X east,7490.0,2023-03-06 07:03:30.362,2023-03-06 07:10:18.394,408.032,35
Upper/X east,7490.0,2023-03-06 12:40:37.284,2023-03-06 12:54:01.574,804.29,68
Upper/X east,7490.0,2023-03-06 13:27:53.355,2023-03-06 13:40:53.517,780.162,66
Upper/X east,7490.0,2023-03-06 14:18:09.765,2023-03-06 14:23:22.384,312.619,27
Upper/X east,7490.0,2023-03-06 14:26:14.319,2023-03-06 14:26:26.392,12.073,2
Upper/X east,7490.0,2023-03-06 15:04:35.293,2023-03-06 15:05:23.559,48.266,5
Upper/X east,7490.0,2023-03-06 16:39:46.576,2023-03-06 16:39:58.643,12.067,2
Upper/X east,7490.0,2023-03-06 16:41:20.356,2023-03-06 16:54:58.355,817.999,71
Upper/X east,7490.0,2023-03-06 17:29:21.307,2023-03-06 17:41:22.508,721.201,61
Upper/X east,7490.0,2023-03-06 18:19:30.343,2023-03-06 18:27:37.383,487.04,43
Upper/X east,7490.0,2023-03-06 19:04:49.544,2023-03-06 19:08:25.355,215.811,19
Upper/X east,7490.0,2023-03-06 19:12:03.355,2023-03-06 19:12:27.484,24.129,3
Upper/X east,7490.0,2023-03-08 04:12:59.256,2023-03-08 04:14:08.636,69.38,7
Upper/X east,7490.0,2023-03-08 04:16:38.620,2023-03-08 04:31:16.355,877.735,75
Upper/X east,7490.0,2023-03-22 01:33:35.351,2023-03-22 01:35:11.325,95.974,9
Upper/X east,7490.0,2023-04-01 12:28:08.439,2023-04-01 12:29:01.084,52.645,3
Upper/X east,7490.0,2023-04-01 12:31:33.255,2023-04-01 12:47:40.046,966.791,82
Upper/X east,7490.0,2023-04-01 14:03:56.027,2023-04-01 14:13:53.223,597.196,51
Upper/X east,7490.0,2023-04-01 14:18:20.285,2023-04-01 14:18:54.286,34.001,2
Upper/X east,7490.0,2023-04-01 14:20:39.024,2023-04-01 14:37:07.235,988.211,80
Upper/X east,7490.0,2023-04-03 13:58:27.046,2023-04-03 14:02:50.279,263.233,23
Upper/X east,7490.0,2023-04-03 16:56:35.514,2023-04-03 16:59:11.257,155.743,14
Upper/X east,7490.0,2023-04-04 02:14:50.355,2023-04-04 02:20:11.975,321.62,28
Upper/X east,7490.0,2023-04-04 02:48:13.322,2023-04-04 02:58:48.077,634.755,52
Upper/X east,7490.0,2023-04-04 05:21:52.461,2023-04-04 05:23:40.219,107.758,10
Upper/X east,7490.0,2023-04-04 05:48:26.334,2023-04-04 05:51:50.351,204.017,18
Upper/X east,7490.0,2023-04-04 05:57:23.484,2023-04-04 06:01:23.144,239.66,21
Upper/X east,7490.0,2023-04-04 07:32:25.114,2023-04-04 07:41:01.153,516.039,44
Upper/X east,7490.0,2023-04-04 13:00:55.628,2023-04-04 13:18:27.140,1051.512,87
Upper/X east,7490.0,2023-04-04 14:28:20.372,2023-04-04 14:37:30.127,549.755,44
Upper/X east,7490.0,2023-04-04 14:39:23.362,2023-04-04 14:42:35.293,191.931,16
Upper/X east,7490.0,2023-04-04 17:31:05.693,2023-04-04 17:35:19.876,254.183,23
Upper/X east,7490.0,2023-04-04 17:38:48.813,2023-04-04 17:40:00.381,71.568,7
Upper/X east,7490.0,2023-04-04 18:05:23.809,2023-04-04 18:06:47.442,83.633,8
Upper/X east,7490.0,2023-04-05 01:17:40.660,2023-04-05 01:22:38.983,298.323,26
Upper/X east,7490.0,2023-04-05 02:46:18.540,2023-04-05 02:47:19.139,60.599,3
Upper/X east,7490.0,2023-04-05 02:53:57.527,2023-04-05 03:06:30.159,752.632,64
Upper/X east,7490.0,2023-04-05 04:15:51.065,2023-04-05 04:31:02.216,911.151,79
Upper/X east,7490.0,2023-04-05 05:55:57.089,2023-04-05 05:56:20.117,23.028,3
Upper/X east,7490.0,2023-04-05 05:59:13.148,2023-04-05 06:00:06.892,53.744,5
Upper/X east,7490.0,2023-04-11 00:29:05.047,2023-04-11 00:29:51.388,46.341,3
Upper/X east,7490.0,2023-04-11 00:44:54.447,2023-04-11 00:45:06.233,11.786,2
Upper/X east,7490.0,2023-04-11 01:45:44.153,2023-04-11 02:05:25.176,1181.023,81
Upper/X east,7490.0,2023-04-11 02:07:09.380,2023-04-11 02:09:45.407,156.027,14
Upper/X east,7490.0,2023-05-24 04:25:27.604,2023-05-24 04:29:27.802,240.198,21
Upper/X east,7490.0,2023-05-24 05:52:53.847,2023-05-24 05:54:49.550,115.703,11
