timestamp,event_type,axis,error_code,motion_state
2016-02-11T16:30:03.375000,Motion,Upper/X east,,
2016-02-11T16:30:04.348000,Fault,,,
2016-02-11T16:30:04.364000,Fault,,,
2016-02-11T16:30:04.378000,Fault,,,
2016-02-11T16:30:04.945000,Motion,Lower/Y north,,
2016-02-11T16:30:05.146000,Fault,,,
2016-02-11T16:30:05.146000,Fault,,,
2016-02-11T16:30:05.147000,Fault,,,
2016-02-11T16:30:05.391000,Fault,,,
2016-02-11T16:30:05.392000,Fault,,,
2016-02-11T16:30:05.395000,Fault,,,
2016-02-11T16:30:05.847000,Fault,,,
2016-02-11T16:30:06.285000,Motion,Upper/X east,,
2016-02-11T16:30:06.285000,Motion,Lower/Y north,,
2016-02-11T16:30:06.366000,Fault,,,
2016-02-11T16:30:06.376000,Fault,,,
2016-02-11T16:30:06.378000,Fault,,,
2016-02-11T16:30:06.378000,Fault,,,
2016-02-11T16:30:49.400000,Fault,,,
2016-02-11T16:30:49.400000,Fault,,,
2016-02-11T16:31:14.372000,Fault,,,
2016-02-11T16:32:49.381000,Fault,,,
2016-02-11T16:32:49.381000,Fault,,,
2016-02-11T16:32:49.382000,Fault,,,
2016-02-11T16:32:49.382000,Fault,,,
2016-02-11T16:32:49.382000,Fault,,,
2016-02-11T16:32:51.378000,Fault,,,
2016-02-11T16:32:51.379000,Fault,,,
2016-02-11T16:32:51.379000,Fault,,,
2016-02-11T16:32:51.379000,Fault,,,
2016-02-11T16:32:51.380000,Fault,,,
2016-02-11T16:32:51.390000,Fault,,,
2016-02-11T16:32:51.392000,Fault,,,
2016-02-11T16:32:51.392000,Fault,,,
2016-02-11T16:32:51.392000,Fault,,,
2016-02-11T16:33:49.801000,Fault,,,
2016-02-11T16:33:49.802000,Fault,,,
2016-02-11T16:33:49.804000,Fault,,,
2016-02-11T16:33:49.805000,Fault,,,
2016-02-11T16:33:49.814000,Fault,,,
2016-02-11T16:33:49.819000,Fault,,,
2016-02-11T16:33:49.840000,Fault,,,
2016-02-11T16:33:49.841000,Fault,,,
2016-02-11T16:33:49.841000,Fault,,,
2016-02-11T16:33:49.843000,Fault,,,
2016-02-11T16:33:49.903000,Fault,,,
2016-02-11T16:37:06.245000,Motion,,,Releasing brake
2016-02-11T16:37:16.249000,Motion,,,Applying brake
2016-02-11T16:38:42.842000,Fault,,,
2016-02-11T16:38:42.844000,Fault,,,
2016-02-11T16:38:42.845000,Fault,,,
2016-02-11T16:38:43.842000,Fault,,,
2016-02-11T16:38:43.842000,Fault,,,
2016-02-11T16:38:43.842000,Fault,,,
2016-02-11T16:38:43.843000,Fault,,,
2016-02-11T16:38:43.843000,Fault,,,
2016-02-11T16:38:43.843000,Fault,,,
2016-02-11T16:38:44.342000,Fault,,,
2016-02-11T16:40:45.856000,Fault,,,
2016-02-11T16:40:45.866000,Fault,,,
2016-02-11T16:40:45.868000,Fault,,,
2016-02-11T16:40:45.870000,Fault,,,
2016-02-11T16:40:45.870000,Fault,,,
2016-02-11T16:40:47.843000,Fault,,,
2016-02-11T16:40:47.943000,Fault,,,
2016-02-11T16:40:48.146000,Fault,,,
2016-02-11T16:40:48.146000,Fault,,,
2016-02-11T16:40:48.944000,Fault,,,
2018-05-01T02:20:35.784000,Motion,,,Stop
2018-05-01T02:20:35.797000,Motion,,,Stop
2018-05-01T03:54:38.586000,Motion,,,Stop
2018-05-01T03:54:38.595000,Motion,,,Stop
2018-05-01T04:50:18.621000,Motion,,,Stop
2018-05-01T04:50:18.630000,Motion,,,Stop
2018-05-01T06:16:55.874000,Motion,,,Stop
2018-05-01T06:16:55.886000,Motion,,,Stop
