scenario,date,p_stable,p_degrading,p_rest
always_active,2026-02-27,0.0245,0.9755,0.0
always_active,2026-02-28,0.046,0.954,0.0
always_active,2026-03-01,0.0605,0.9395,0.0
always_active,2026-03-02,0.074,0.926,0.0
always_active,2026-03-03,0.095,0.905,0.0
always_active,2026-03-04,0.112,0.888,0.0
always_active,2026-03-05,0.125,0.875,0.0
rest_1day_on_maxload_2026-03-03,2026-02-27,0.0215,0.9785,0.0
rest_1day_on_maxload_2026-03-03,2026-02-28,0.0475,0.9525,0.0
rest_1day_on_maxload_2026-03-03,2026-03-01,0.07,0.93,0.0
rest_1day_on_maxload_2026-03-03,2026-03-02,0.085,0.915,0.0
rest_1day_on_maxload_2026-03-03,2026-03-03,0.0,0.0,1.0
rest_1day_on_maxload_2026-03-03,2026-03-04,0.654,0.346,0.0
rest_1day_on_maxload_2026-03-03,2026-03-05,0.6565,0.3435,0.0
rest_2days_from_maxload_2026-03-03,2026-02-27,0.0235,0.9765,0.0
rest_2days_from_maxload_2026-03-03,2026-02-28,0.0465,0.9535,0.0
rest_2days_from_maxload_2026-03-03,2026-03-01,0.0595,0.9405,0.0
rest_2days_from_maxload_2026-03-03,2026-03-02,0.081,0.919,0.0
rest_2days_from_maxload_2026-03-03,2026-03-03,0.0,0.0,1.0
rest_2days_from_maxload_2026-03-03,2026-03-04,0.0,0.0,1.0
rest_2days_from_maxload_2026-03-03,2026-03-05,0.665,0.335,0.0
