date_rest,date_reactivated,next_state,next_health_index,next_risk_level
2018-04-30,2018-05-01,STABLE,100.0,Normal
2018-05-06,2018-05-07,STABLE,100.0,Normal
2018-05-09,2018-05-10,STABLE,100.0,Normal
2018-05-12,2018-05-13,STABLE,100.0,Normal
2021-02-08,2021-02-09,STABLE,100.0,Normal
2021-05-22,2021-05-23,STABLE,100.0,Normal
2021-10-27,2021-10-28,STABLE,100.0,Normal
2022-11-30,2022-12-01,STABLE,63.12607945261024,Watch
2023-04-10,2023-04-11,DEGRADING,22.74582796970856,Critical
2023-05-23,2023-05-24,STABLE,83.37606837606837,Normal
2023-05-29,2023-05-30,DEGRADING,30.63835832492549,Critical
2023-07-12,2023-07-13,STABLE,98.4940101358012,Normal
2023-08-19,2023-08-20,STABLE,99.4572591587517,Normal
2024-01-14,2024-01-15,STABLE,100.0,Normal
2024-03-18,2024-03-19,STABLE,100.0,Normal
2025-02-25,2025-02-26,STABLE,95.6933299292456,Normal
2025-03-02,2025-03-03,STABLE,63.40548660633138,Watch
2025-06-06,2025-06-07,DEGRADING,0.0,Critical
2025-09-10,2025-09-11,STABLE,89.70728005227045,Normal
2025-09-18,2025-09-19,DEGRADING,7.1981455565183765,Critical
2025-09-21,2025-09-22,DEGRADING,41.80795601475594,Warning
2025-09-29,2025-09-30,DEGRADING,16.3825956258511,Critical
2025-10-05,2025-10-06,DEGRADING,0.0,Critical
2025-10-13,2025-10-14,DEGRADING,17.621893620960066,Critical
2025-11-17,2025-11-18,STABLE,99.57264957264958,Normal
2025-11-20,2025-11-21,STABLE,71.28460262788622,Watch
2025-11-30,2025-12-01,DEGRADING,25.696823514681995,Critical
