date,total_rows,active_rows,active_ratio,upper_error_std,lower_error_std,upper_vel_std,lower_vel_std,upper_error_spikes,lower_error_spikes,upper_current_spikes,lower_current_spikes,is_operational_day,oscillation_score
2023-03-20,17280,17262,0.9989583333333333,55.81026026425128,0.4999174289548938,0.15751747987752918,0.2906613994506513,8612,8485,0,22,True,0.7303673841457944
2024-01-20,17280,15172,0.8780092592592592,53.7051767038333,0.49968554719106206,0.015250208806754227,0.05986798051956202,6619,0,7273,7187,True,0.6788431742895666
2024-01-31,17280,13950,0.8072916666666666,52.74515322446526,0.49565059358999924,0.015254846605227907,0.095186024241426,6098,0,5934,6034,True,0.673770232332246
2024-02-17,17280,14827,0.8580439814814815,50.98727579969426,0.4992843664130852,0.015025928422061869,0.058009137963418236,5132,0,7001,6787,True,0.6625988271665426
2024-02-10,17280,13313,0.7704282407407408,62.69142961981797,0.49230272992284746,0.01667536472593446,0.02846991722066861,4480,0,1783,2698,True,0.647882234974197
2023-11-30,17280,14964,0.8659722222222223,54.44792274662124,0.49905413044997726,0.016327871240504957,0.08417862134646682,7021,0,0,6861,True,0.6393421376160483
2023-12-15,17280,14250,0.8246527777777778,54.14579888560865,0.49802286100449494,0.01834556578356929,0.0821838953971926,6407,0,0,6379,True,0.6380249815592152
2023-07-23,17280,14387,0.8325810185185185,53.28595263821451,0.4975344172728487,0.016256222627833824,0.09331916100720865,6890,0,6455,0,True,0.631376777423328
2023-10-16,17280,15380,0.8900462962962963,51.45128609001838,0.4998705149392946,0.01664704222271765,0.08119858146781138,6683,0,7348,0,True,0.62184005240634
2023-09-17,17280,14801,0.8565393518518518,50.298107024189044,0.49877603082735983,0.019280035038068254,0.0902986727840086,6638,0,6701,0,True,0.6175082811051731
2024-01-16,17280,15430,0.8929398148148148,51.133275833987135,0.49978161002539717,0.015324054395741249,0.058849024076326695,5148,0,369,7402,True,0.6166056401085043
2023-08-06,17280,15106,0.8741898148148148,49.713447667844605,0.49915472634629554,0.015216805499944284,0.09303560104916316,6509,0,7105,0,True,0.6137109597580829
2023-12-19,17280,15373,0.8896412037037037,53.546926273272305,0.4998784164115815,0.01706957642803767,0.018577912284187995,6454,0,0,5302,True,0.6131932654973618
2023-09-03,17280,15368,0.8893518518518518,50.90004794022146,0.4998804813251937,0.017232953894703522,0.08583782743751951,6572,0,5566,0,True,0.6106725799579906
2023-12-28,17280,14634,0.846875,56.15972234969625,0.49802321257630633,0.015585632152750106,0.0572145225772464,3993,0,0,2218,True,0.610386104312236
2023-08-20,17280,15551,0.8999421296296296,48.91706332801119,0.49996613155753983,0.01482717538342508,0.09814930355557895,6307,0,7624,0,True,0.6102818693053567
